"ExpPirCat","venuename","Bends","margfin","avgmargfin","n","ExpPirAdj"
"MF","Murray Bridge",1,3.82842105263158,3.76290665772609,190,0.0655143949054935
"OF","Murray Bridge",1,3.93464052287582,3.76290665772609,153,0.171733865149732
"OP","Murray Bridge",1,3.72173913043478,3.76290665772609,207,-0.0411675272913028
"BM","Murtoa",1,5.1,3.80288888888889,7,1.06955455286384
"L","Murtoa",1,2.71111111111111,3.80288888888889,27,-0.924015755938997
"MF","Murtoa",1,3.95333333333333,3.80288888888889,30,0.150444444444444
"OF","Murtoa",1,4.18076923076923,3.80288888888889,26,0.358382575859891
"OP","Murtoa",1,3.06923076923077,3.80288888888889,26,-0.444167040746402
"BM","Murwillumbah",1,4.54035714285714,3.4991922375401,56,1.04116490531705
"L","Murwillumbah",1,2.61913978494624,3.4991922375401,93,-0.880052452593858
"MF","Murwillumbah",1,3.37025641025641,3.4991922375401,78,-0.128935827283685
"OF","Murwillumbah",1,3.82805970149254,3.4991922375401,67,0.328867463952442
